sector,count,win_rate,avg_return
综合类,6,0.5,10.0214
红黄酒,7,0.5714,8.7621
旅游服务,8,0.375,8.5656
染料涂料,15,0.4667,6.5967
小金属,133,0.5113,5.4968
轻工机械,13,0.6923,5.4687
电信运营,4,0.5,5.2725
汽车整车,86,0.4302,4.7879
电器仪表,38,0.5,4.4326
陶瓷,10,0.4,4.1921
汽车配件,164,0.4939,4.1243
白酒,66,0.5,3.9021
啤酒,35,0.4571,3.8713
供气供热,19,0.4211,3.6846
电气设备,293,0.4573,3.563
普钢,54,0.5,3.552
酒店餐饮,10,0.6,3.4856
化工原料,160,0.3938,3.4378
玻璃,33,0.3636,3.375
铝,42,0.5714,3.2491
汽车服务,17,0.4706,2.8075
农药化肥,65,0.4308,2.4655
水力发电,56,0.4464,2.427
食品,63,0.381,2.3296
元器件,368,0.4185,2.2252
医药商业,51,0.451,2.1001
医疗保健,122,0.3852,2.051
中成药,121,0.438,2.0346
铅锌,31,0.4839,1.9861
化学制药,168,0.4405,1.9032
工程机械,67,0.4478,1.8129
半导体,205,0.3707,1.7706
特种钢,39,0.4359,1.6249
软饮料,12,0.4167,1.5912
软件服务,219,0.411,1.5747
其他建材,26,0.4615,1.5577
家用电器,102,0.4412,1.4467
火力发电,113,0.4336,1.4257
煤炭开采,130,0.4462,1.3892
铜,89,0.4494,1.3673
广告包装,33,0.3939,1.366
专用机械,143,0.3706,1.3654
旅游景点,12,0.5833,1.2952
造纸,13,0.3846,1.2879
保险,49,0.3469,1.2018
出版业,25,0.44,1.1514
塑料,21,0.4286,1.1344
饲料,45,0.4,1.0235
摩托车,26,0.3462,0.9934
化纤,65,0.4154,0.8705
乳制品,10,0.3,0.8136
铁路,10,0.4,0.8089
石油开采,39,0.4103,0.7588
建筑工程,103,0.3981,0.753
互联网,86,0.3488,0.6648
水务,14,0.4286,0.5964
水泥,17,0.4706,0.4981
黄金,52,0.4038,0.451
生物制药,112,0.3661,0.4326
船舶,40,0.375,0.3411
文教休闲,18,0.4444,0.2937
新型电力,54,0.3704,0.2364
影视音像,55,0.4364,0.1937
通信设备,157,0.3758,0.1557
机械基件,19,0.3684,0.1203
日用化工,14,0.2857,0.1043
环境保护,48,0.375,-0.1788
IT设备,79,0.3797,-0.1956
园区开发,34,0.3529,-0.4346
航空,156,0.3397,-0.4761
水运,32,0.2812,-0.5296
路桥,23,0.3478,-0.6061
多元金融,77,0.3506,-0.718
石油加工,20,0.25,-0.7421
焦炭加工,7,0.4286,-0.839
种植业,11,0.2727,-0.8617
证券,361,0.2742,-1.2798
银行,142,0.3028,-1.3013
农业综合,40,0.3,-1.3219
化工机械,20,0.25,-1.3309
仓储物流,48,0.2917,-1.4522
橡胶,8,0.125,-1.799
家居用品,17,0.2941,-1.8409
空运,50,0.24,-1.8533
矿物制品,29,0.2759,-2.0738
港口,63,0.254,-2.2765
全国地产,43,0.186,-2.5385
机场,24,0.25,-2.5891
运输设备,31,0.2903,-2.8265
服饰,11,0.0909,-3.0815
区域地产,18,0.1667,-3.6726
百货,18,0.1111,-3.7471
商品城,9,0.2222,-4.2704
