ts_code,episode,entry_date,exit_date,holding_days,avg_cost,avg_exit_price,total_shares,gross_pnl,return_pct,add_count,take_profit_count,exit_reason,status,tp1_pct,tp2_pct,max_bullish_candle_pct,mfe_pct,mae_pct,dea_neg_distance_days,industry,entry_kdj_j,entry_ma60_dist_pct,ma_alignment,macd_zone,entry_circ_mv,entry_week_kdj_j,entry_week_macd_zone,entry_month_macd_zone,entry_hs300_dif_above_zero,entry_hs300_bull_align,entry_stock_bull_align,entry_stock_above_ma25,date,sector,close,ma25,ma60,dea,atr,was_bought,skip_reason,forward_return_5d,forward_return_20d,forward_return_60d,factor_momentum_60d,factor_ma60_dist,factor_macd_strength,factor_roe,factor_pe_ttm,factor_netprofit_yoy,factor_sector_momentum_60d
000683.SZ,1,2021-02-24,2021-09-24,212.0,2.3906,6.8476,138200,615948.69,186.4338,1,2,MA25清仓,completed,0.0513,0.1026,0.116751,372.1116,-13.1474,3,化工原料,111.53,31.41,局部多头,区间1,97.62,86.91,区间1,区间1,True,True,False,True,2021-02-24,化工原料,2.51,1.92,1.91,0.05,0.0858100769520362,True,,-0.035857,-0.083665,0.25498,0.183962,0.314136,0.05,,,,
300432.SZ,6,2021-05-13,2021-09-09,119.0,4.4704,8.9197,37200,165511.01,99.5252,0,2,MA25清仓,completed,0.0588,0.1175,0.186076,378.0761,-1.1186,4,汽车配件,94.87,3.71,全空头,区间1,69.58,58.63,区间0,区间3,False,False,False,True,2021-05-13,汽车配件,4.47,4.26,4.31,0.02,0.175101736623114,True,,0.096197,0.53915,2.52349,-0.021882,0.037123,0.02,,,,
000831.SZ,6,2021-06-25,2021-09-06,73.0,19.166,37.9051,17300,324186.26,97.7728,1,2,MA25清仓,completed,0.0603,0.1206,0.129085,207.9152,-6.3114,2,小金属,99.77,9.83,全多头,区间1,190.78,67.46,区间0,区间2,False,False,True,True,2021-06-25,小金属,19.33,17.78,17.6,0.06,0.776967729954147,True,,0.013968,0.646146,1.107605,0.125801,0.098295,0.06,,,,
601127.SH,6,2021-03-02,2021-07-05,125.0,18.2718,36.04,9100,161690.57,97.2437,0,2,MA25清仓,completed,0.1192,0.2384,0.135251,353.4209,-7.0608,3,汽车整车,95.05,12.71,局部空头,区间1,175.85,64.05,区间3,区间1,True,True,False,True,2021-03-02,汽车整车,18.27,15.88,16.21,0.28,1.4519007830167472,True,,0.049808,0.240832,2.245758,-0.027157,0.127082,0.28,,,,
603260.SH,3,2021-04-29,2021-09-28,152.0,54.2354,103.1164,3000,146642.79,90.1273,0,2,MA25清仓,completed,0.0683,0.1365,0.107205,355.5781,-1.7518,3,化工原料,105.81,19.63,局部空头,区间1,537.47,61.93,区间0,区间1,False,False,False,True,2021-04-29,化工原料,54.23,44.41,45.33,1.11,2.4681058991896454,True,,0.014936,0.074313,0.725613,0.221947,0.196338,1.11,,,,
601216.SH,2,2020-04-28,2020-09-07,132.0,1.9202,3.6298,86800,148395.21,89.0339,0,2,MA25清仓,completed,0.056,0.112,0.168675,367.7083,0.0,2,化工原料,49.49,2.67,全空头,区间1,232.05,50.42,区间0,区间0,True,False,False,True,2020-04-28,化工原料,1.92,1.8,1.87,0.01,0.0716996341240544,True,,0.041667,0.020833,1.307292,0.04918,0.026738,0.01,,,,
600460.SH,7,2021-04-09,2021-08-10,123.0,27.6799,51.9873,12000,291688.94,87.816,1,2,MA25清仓,completed,0.0838,0.1677,0.127286,160.2663,-9.2151,2,半导体,85.28,11.18,局部空头,区间1,377.09,74.68,区间3,区间3,False,False,False,True,2021-04-09,半导体,28.54,25.37,25.67,0.32,1.5950911780732395,True,,-0.057463,0.183952,1.169937,-0.011431,0.111804,0.32,,,,
603129.SH,4,2020-05-07,2020-08-14,99.0,38.1488,69.8502,8600,272631.92,83.0993,1,2,MA25清仓,completed,0.079,0.1581,0.106663,156.6623,-1.5906,3,摩托车,85.35,5.04,局部空头,区间1,26.87,72.22,区间0,区间1,True,False,False,True,2020-05-07,摩托车,38.35,33.59,36.51,0.38,2.021012480285524,True,,0.081095,0.374185,1.353325,-0.029605,0.050397,0.38,,,,
600536.SH,1,2019-02-20,2019-04-26,65.0,26.2661,46.9238,12500,258221.88,78.6481,1,2,MA25清仓,completed,0.0637,0.1274,0.135222,149.9244,-3.099,2,软件服务,102.6,13.86,局部空头,区间1,131.01,66.04,区间0,区间1,True,False,False,True,2019-02-20,软件服务,26.46,22.6,23.24,0.19,1.1239825051100831,True,,0.112623,0.940665,1.095238,0.003033,0.138554,0.19,,,,
002241.SZ,1,2019-07-04,2019-11-25,144.0,9.4259,16.8207,53000,391922.69,78.4512,2,2,MA25清仓,completed,0.061,0.1221,0.092904,124.5798,-4.6218,2,元器件,87.82,7.57,局部空头,区间1,263.3,23.07,区间0,区间1,True,False,False,True,2019-07-04,元器件,9.52,8.29,8.85,0.07,0.3874126070969769,True,,-0.018908,0.233193,0.908613,-0.079304,0.075706,0.07,,,,
